發生年度,發生時-Hours,區序,天候,事故位置,路面狀況3,年齡,飲酒情形,座標-X,座標-Y
110,0,04大安區,8,1,4,28,1,121.5440278,25.02570179
110,0,04大安區,8,1,4,30,1,121.5440278,25.02570179
110,0,03中山區,8,11,4,44,1,121.551264,25.08616941
110,0,03中山區,8,11,4,31,1,121.551264,25.08616941
110,0,07信義區,7,1,4,30,1,121.5664711,25.02577534
110,0,07信義區,7,1,4,37,1,121.5664711,25.02577534
110,1,03中山區,7,1,4,65,2,121.5277856,25.0580172
110,1,03中山區,7,1,4,31,11,121.5277856,25.0580172
110,1,03中山區,7,1,4,32,10,121.5277856,25.0580172
110,1,07信義區,7,2,4,20,2,121.55678,25.0256101
110,1,07信義區,7,2,4,48,2,121.55678,25.0256101
110,2,05中正區,7,1,4,52,11,121.5104149,25.04130472
110,2,05中正區,7,1,4,24,9,121.5104149,25.04130472
110,2,10文山區,8,2,4,21,2,121.5706998,24.98771257
110,2,09北投區,8,22,4,19,1,121.5113713,25.1104743
110,2,10文山區,8,2,4,20,2,121.5706998,24.98771257
110,2,09北投區,8,22,4,,,121.5113713,25.1104743
110,2,10文山區,8,2,4,26,10,121.5706998,24.98771257
110,2,12內湖區,8,1,4,52,1,121.5951342,25.0842222
110,2,12內湖區,8,1,4,21,1,121.5951342,25.0842222
110,3,04大安區,8,2,4,60,11,121.5345282,25.04489804
110,3,04大安區,8,2,4,55,1,121.5345282,25.04489804
110,3,07信義區,7,1,4,57,2,121.5654622,25.0358761
110,3,07信義區,7,1,4,22,2,121.5654622,25.0358761
110,3,07信義區,7,1,4,30,10,121.5654622,25.0358761
110,3,07信義區,8,1,4,22,1,121.5694663,25.0210652
110,3,07信義區,8,1,4,,,121.5694663,25.0210652
110,3,02萬華區,7,9,4,24,1,121.5015545,25.03728633
110,3,02萬華區,7,9,4,65,1,121.5015545,25.03728633
110,3,01大同區,8,1,4,63,2,121.51822,25.0628392
110,3,01大同區,8,1,4,20,2,121.51822,25.0628392
110,4,01大同區,7,1,4,25,2,121.5159768,25.0629996
110,4,01大同區,7,1,4,18,2,121.5159768,25.0629996
110,5,02萬華區,7,1,4,44,2,121.4960269,25.03885841
110,5,02萬華區,7,1,4,21,2,121.4960269,25.03885841
110,6,02萬華區,7,1,4,65,1,121.5011205,25.0346015
110,6,02萬華區,7,1,4,43,1,121.5011205,25.0346015
110,8,01大同區,7,1,4,62,2,121.513729,25.07048452
110,8,01大同區,7,1,4,68,10,121.513729,25.07048452
110,8,03中山區,8,9,4,27,1,121.5330393,25.07059195
110,8,03中山區,8,9,4,71,1,121.5330393,25.07059195
110,8,05中正區,8,2,4,18,2,121.5197817,25.03352168
110,8,05中正區,8,2,4,71,2,121.5197817,25.03352168
110,8,05中正區,8,2,4,21,10,121.5197817,25.03352168
110,9,04大安區,8,2,4,81,1,121.5526588,25.0203123
110,9,04大安區,8,2,4,69,10,121.5526588,25.0203123
110,10,10文山區,7,9,4,52,2,121.5718869,24.99549841
110,10,10文山區,7,9,4,27,2,121.5718869,24.99549841
110,11,03中山區,8,2,4,52,1,121.5231359,25.06896878
110,11,03中山區,8,2,4,26,1,121.5231359,25.06896878
110,11,03中山區,8,2,4,25,10,121.5231359,25.06896878
110,13,01大同區,8,1,4,37,2,121.511213,25.06306505
110,13,01大同區,8,1,4,35,2,121.511213,25.06306505
110,13,01大同區,8,1,4,19,2,121.511213,25.06306505
110,13,05中正區,8,1,4,37,2,121.5191128,25.03168888
110,13,05中正區,8,1,4,81,2,121.5191128,25.03168888
110,13,07信義區,8,2,4,18,2,121.5565014,25.02110225
110,13,07信義區,8,2,4,79,2,121.5565014,25.02110225
110,15,08士林區,8,2,4,64,1,121.5088278,25.08799613
110,15,08士林區,8,2,4,59,1,121.5088278,25.08799613
110,16,01大同區,7,9,4,60,2,121.5155026,25.05792413
110,16,01大同區,7,9,4,48,2,121.5155026,25.05792413
110,16,01大同區,7,9,4,10,10,121.5155026,25.05792413
110,16,12內湖區,8,7,4,41,11,121.5631068,25.08008372
110,16,12內湖區,8,7,4,21,1,121.5631068,25.08008372
110,16,12內湖區,8,7,4,24,10,121.5631068,25.08008372
110,16,07信義區,8,3,4,41,1,121.5630414,25.0471934
110,16,07信義區,8,3,4,35,1,121.5630414,25.0471934
