發生年度,發生時-Hours,區序,天候,事故位置,路面狀況3,年齡,飲酒情形,座標-X,座標-Y
111,0,06松山區,7,9,4,14,2,121.5442386,25.05715389
111,0,06松山區,7,9,4,56,2,121.5442386,25.05715389
111,0,06松山區,7,9,4,15,10,121.5442386,25.05715389
111,0,04大安區,7,1,4,19,1,121.5374491,25.04155338
111,0,04大安區,7,1,4,19,1,121.5374491,25.04155338
111,0,04大安區,7,1,4,19,10,121.5374491,25.04155338
111,2,02萬華區,8,1,4,67,1,121.5062103,25.03942986
111,2,02萬華區,8,1,4,44,1,121.5062103,25.03942986
111,2,03中山區,8,1,4,66,1,121.5243556,25.0628531
111,2,03中山區,8,1,4,26,1,121.5243556,25.0628531
111,2,05中正區,8,2,4,18,1,121.51732,25.03870714
111,2,05中正區,8,2,4,,,121.51732,25.03870714
111,3,09北投區,8,2,4,59,2,121.4934086,25.13695674
111,3,09北投區,8,2,4,26,3,121.4934086,25.13695674
111,4,07信義區,7,18,4,52,10,121.5575567,25.03327218
111,4,07信義區,7,18,4,66,2,121.5575567,25.03327218
111,4,02萬華區,8,1,4,66,1,121.4967237,25.03112516
111,4,02萬華區,8,1,4,21,1,121.4967237,25.03112516
111,5,02萬華區,8,1,4,72,1,121.496795,25.0199089
111,5,02萬華區,8,1,4,78,1,121.496795,25.0199089
111,6,02萬華區,8,1,4,52,2,121.5041459,25.0301165
111,6,02萬華區,8,1,4,23,2,121.5041459,25.0301165
111,6,03中山區,8,1,4,,11,121.5372832,25.0625404
111,6,03中山區,8,1,4,87,10,121.5372832,25.0625404
111,7,08士林區,8,9,4,58,2,121.5480091,25.11005834
111,7,08士林區,8,9,4,25,9,121.5480091,25.11005834
111,7,08士林區,8,9,4,24,10,121.5480091,25.11005834
111,8,03中山區,8,2,4,62,1,121.5228254,25.06024264
111,8,03中山區,8,2,4,27,10,121.5228254,25.06024264
111,8,07信義區,7,3,4,33,2,121.5684213,25.04113724
111,8,07信義區,7,3,4,19,2,121.5684213,25.04113724
111,9,01大同區,8,9,4,38,2,121.5172803,25.06283634
111,9,01大同區,8,9,4,39,2,121.5172803,25.06283634
111,10,08士林區,7,1,4,23,2,121.5130194,25.08103118
111,10,08士林區,7,1,4,62,2,121.5130194,25.08103118
111,10,08士林區,7,1,4,23,10,121.5130194,25.08103118
111,10,04大安區,7,4,4,18,1,121.5273372,25.03394165
111,10,04大安區,7,4,4,45,1,121.5273372,25.03394165
111,10,04大安區,7,4,4,45,10,121.5273372,25.03394165
111,10,04大安區,8,9,4,47,2,121.5436876,25.0332999
111,10,04大安區,8,9,4,59,10,121.5436876,25.0332999
111,11,04大安區,8,1,4,54,2,121.5471972,25.04216508
111,11,04大安區,8,1,4,31,2,121.5471972,25.04216508
111,11,02萬華區,7,1,4,29,1,121.5093733,25.04600407
111,11,02萬華區,7,1,4,20,1,121.5093733,25.04600407
111,11,02萬華區,7,1,4,22,10,121.5093733,25.04600407
111,11,07信義區,8,2,4,45,1,121.5581741,25.0287043
111,11,07信義區,8,2,4,56,1,121.5581741,25.0287043
111,11,04大安區,8,1,4,29,1,121.546205,25.04294883
111,11,04大安區,8,1,4,29,1,121.546205,25.04294883
111,12,05中正區,8,1,4,25,1,121.5085491,25.03548487
111,12,05中正區,8,1,4,24,1,121.5085491,25.03548487
111,12,08士林區,7,9,4,41,2,121.5217077,25.09471915
111,12,08士林區,7,9,4,38,2,121.5217077,25.09471915
111,12,04大安區,8,2,4,58,1,121.5437057,25.0419218
111,12,04大安區,8,2,4,56,1,121.5437057,25.0419218
111,12,04大安區,8,2,4,66,10,121.5437057,25.0419218
111,12,07信義區,8,1,4,,11,121.5690083,25.04898133
111,12,07信義區,8,1,4,18,1,121.5690083,25.04898133
111,13,11南港區,8,1,4,20,1,121.5835553,25.0465844
111,13,11南港區,8,1,4,28,1,121.5835553,25.0465844
111,14,05中正區,8,1,4,53,2,121.511541,25.04221864
111,14,05中正區,8,1,4,57,2,121.511541,25.04221864
111,14,05中正區,8,1,4,68,11,121.511541,25.04221864
111,14,05中正區,8,1,4,65,10,121.511541,25.04221864
111,15,02萬華區,8,1,4,22,2,121.4997758,25.0262364
111,15,02萬華區,8,1,4,26,2,121.4997758,25.0262364
111,15,02萬華區,8,1,4,22,10,121.4997758,25.0262364
111,15,12內湖區,8,9,4,45,1,121.5611,25.08437442
111,15,12內湖區,8,9,4,42,1,121.5611,25.08437442
111,15,12內湖區,8,9,4,58,11,121.5611,25.08437442
111,15,12內湖區,8,1,4,38,1,121.6012837,25.08429425
111,15,12內湖區,8,1,4,62,1,121.6012837,25.08429425
111,15,03中山區,8,1,4,53,1,121.5397243,25.06722005
111,15,03中山區,8,1,4,92,10,121.5397243,25.06722005
111,16,04大安區,8,1,4,62,2,121.5524557,25.01880325
111,16,04大安區,8,1,4,42,2,121.5524557,25.01880325
111,16,12內湖區,8,8,4,34,1,121.6059283,25.08244452
111,16,12內湖區,8,8,4,78,1,121.6059283,25.08244452
111,16,08士林區,8,2,4,30,1,121.5309252,25.11389943
111,16,08士林區,8,2,4,37,1,121.5309252,25.11389943
111,16,08士林區,8,2,4,29,10,121.5309252,25.11389943
111,16,12內湖區,8,1,4,41,1,121.577892,25.05770631
111,16,12內湖區,8,1,4,34,1,121.577892,25.05770631
111,16,12內湖區,8,1,4,38,10,121.577892,25.05770631
111,16,09北投區,8,8,4,37,1,121.5059566,25.11518675
111,16,09北投區,8,8,4,56,1,121.5059566,25.11518675
111,16,09北投區,8,8,4,39,1,121.5059566,25.11518675
111,16,09北投區,8,8,4,19,11,121.5059566,25.11518675
111,16,09北投區,8,8,4,,,121.5059566,25.11518675
111,17,09北投區,8,9,4,59,1,121.4990581,25.10797065
111,17,09北投區,8,9,4,61,1,121.4990581,25.10797065
111,17,09北投區,8,1,4,57,8,121.5282468,25.12892261
111,17,09北投區,8,1,4,67,1,121.5282468,25.12892261
111,17,07信義區,8,1,4,34,1,121.574816,25.03747593
111,17,07信義區,8,1,4,27,1,121.574816,25.03747593
111,17,08士林區,8,9,4,41,2,121.5098964,25.08673366
111,17,08士林區,8,9,4,20,2,121.5098964,25.08673366
111,17,08士林區,8,9,4,57,10,121.5098964,25.08673366
111,17,08士林區,8,9,4,10,10,121.5098964,25.08673366
111,18,06松山區,7,1,4,51,2,121.5490038,25.05191236
111,18,06松山區,7,1,4,61,10,121.5490038,25.05191236
111,18,02萬華區,8,1,4,,11,121.5085612,25.04373272
111,18,02萬華區,8,1,4,19,2,121.5085612,25.04373272
111,18,08士林區,8,9,4,69,2,121.5249179,25.10579313
111,18,08士林區,8,9,4,39,2,121.5249179,25.10579313
111,19,01大同區,8,9,4,60,2,121.5146782,25.05702471
111,19,01大同區,8,9,4,24,2,121.5146782,25.05702471
111,19,05中正區,8,2,4,68,1,121.5241945,25.0476987
111,19,05中正區,8,2,4,42,1,121.5241945,25.0476987
