發生年度,發生時-Hours,處理別-編號,區序,天候,道路型態,事故位置,路面狀況3,年齡,飲酒情形,座標-X,座標-Y
112,0,2,大安區,雨,交岔路,交岔路口,無缺陷,34,未飲酒,121.5530417,25.0379661
112,0,2,大安區,雨,交岔路,交岔路口,無缺陷,24,無法檢測,121.5530417,25.0379661
112,0,2,內湖區,雨,單路,路段,無缺陷,48,未飲酒,121.5908622,25.06414429
112,0,2,內湖區,雨,單路,路段,無缺陷,22,未飲酒,121.5908622,25.06414429
112,0,2,內湖區,雨,單路,路段,無缺陷,22,無法檢測,121.5908622,25.06414429
112,1,2,大同區,雨,單路,路段,無缺陷,27,未飲酒,121.5188056,25.05308239
112,1,2,大同區,雨,單路,路段,無缺陷,63,無法檢測,121.5188056,25.05308239
112,1,2,南港區,雨,交岔路,交岔路口,無缺陷,22,未飲酒,121.5946787,25.0543921
112,1,2,南港區,雨,交岔路,交岔路口,無缺陷,64,未飲酒,121.5946787,25.0543921
112,2,2,大安區,雨,交岔路,交岔路口,無缺陷,52,未飲酒,121.5375815,25.0258248
112,2,2,大安區,雨,交岔路,交岔路口,無缺陷,56,未飲酒,121.5375815,25.0258248
112,2,2,中正區,雨,交岔路,交岔路口,無缺陷,33,未飲酒,121.5298123,25.04260568
112,2,2,中正區,雨,交岔路,交岔路口,無缺陷,49,未飲酒,121.5298123,25.04260568
112,2,2,中山區,雨,單路,路段,無缺陷,47,未飲酒,121.5354574,25.0623383
112,2,2,中山區,雨,單路,路段,無缺陷,21,未飲酒,121.5354574,25.0623383
112,2,2,中山區,雨,單路,路段,無缺陷,47,無法檢測,121.5354574,25.0623383
112,5,2,士林區,雨,單路,路段,無缺陷,42,未飲酒,121.5042765,25.08531172
112,5,2,士林區,雨,單路,路段,無缺陷,73,未飲酒,121.5042765,25.08531172
112,5,2,中正區,雨,單路,路段,無缺陷,33,未飲酒,121.5237556,25.04620013
112,5,2,中正區,雨,單路,路段,無缺陷,18,有飲酒,121.5237556,25.04620013
112,6,2,中正區,雨,單路,路段,無缺陷,48,未飲酒,121.5170068,25.02552668
112,6,2,中正區,雨,單路,路段,無缺陷,29,未飲酒,121.5170068,25.02552668
112,7,2,大安區,雨,交岔路,交岔路口,無缺陷,57,未飲酒,121.5541829,25.02262539
112,7,2,大安區,雨,交岔路,交岔路口,無缺陷,69,未飲酒,121.5541829,25.02262539
112,7,2,內湖區,雨,交岔路,交岔路口,無缺陷,37,未飲酒,121.5915125,25.08294946
112,7,2,內湖區,雨,交岔路,交岔路口,無缺陷,29,無法檢測,121.5915125,25.08294946
112,8,2,中山區,雨,單路,路段,無缺陷,25,未飲酒,121.5296374,25.0478343
112,8,2,中山區,雨,單路,路段,無缺陷,23,未飲酒,121.5296374,25.0478343
112,8,2,內湖區,陰,交岔路,交岔路口,無缺陷,35,未飲酒,121.5908288,25.06891014
112,8,2,內湖區,陰,交岔路,交岔路口,無缺陷,22,未飲酒,121.5908288,25.06891014
112,8,2,內湖區,陰,交岔路,交岔路口,無缺陷,40,無法檢測,121.5908288,25.06891014
112,10,2,文山區,陰,單路,路段,無缺陷,61,未飲酒,121.5755794,24.9995131
112,10,2,文山區,陰,單路,路段,無缺陷,61,未飲酒,121.5755794,24.9995131
112,10,2,文山區,陰,單路,路段,無缺陷,61,未飲酒,121.5755794,24.9995131
112,10,2,文山區,陰,單路,路段,無缺陷,63,未飲酒,121.5755794,24.9995131
112,10,2,北投區,晴,單路,路段,無缺陷,23,未飲酒,121.5008321,25.1370633
112,10,2,北投區,晴,單路,路段,無缺陷,62,未飲酒,121.5008321,25.1370633
112,10,2,中正區,陰,單路,路段,無缺陷,49,未飲酒,121.5285151,25.03408303
112,10,2,中正區,陰,單路,路段,無缺陷,35,未飲酒,121.5285151,25.03408303
112,11,2,中山區,陰,單路,路段,無缺陷,37,未飲酒,121.559132,25.0826209
112,11,2,中山區,陰,單路,路段,無缺陷,24,未飲酒,121.559132,25.0826209
112,11,2,中山區,晴,交岔路,交岔路口,無缺陷,64,未飲酒,121.5540503,25.085435
112,11,2,中山區,晴,交岔路,交岔路口,無缺陷,24,未飲酒,121.5540503,25.085435
